timestamp,_header,_orientation,_orientation_covariance,_angular_velocity,_angular_velocity_covariance,_linear_acceleration,_linear_acceleration_covariance,_check_fields
1730343837503786333,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730343837, nanosec=503595850), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.2725159561336571, y=-0.7032315445849937, z=0.12878133649317278, w=-0.6439066824658639)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-3.375, y=1.0625, z=1.3125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.94384765625, y=0.208984375, z=-0.0185546875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730343837534454181,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730343837, nanosec=534029426), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.27263814867141756, y=-0.7029266976155621, z=0.12896449700978405, w=-0.6441511128448939)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-1.25, y=1.5625, z=0.875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.9443359375, y=0.21044921875, z=-0.01513671875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730343837548153451,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730343837, nanosec=547625899), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.2726346413218977, y=-0.7027345556705462, z=0.12884077184475623, w=-0.6443869583784634)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.5, y=1.4375, z=0.3125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.94775390625, y=0.2158203125, z=-0.01513671875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730343837564099993,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730343837, nanosec=563724977), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.27269305618540135, y=-0.7026057436898703, z=0.12853437249920663, w=-0.6445638689288324)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.875, y=1.0625, z=-0.125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.93896484375, y=0.21923828125, z=-0.0078125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730343837586979607,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730343837, nanosec=586493932), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.27269402117319413, y=-0.7025471973421302, z=0.12853482734797378, w=-0.6446271825495248)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.5625, y=-0.1875, z=-0.5625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.9384765625, y=0.21826171875, z=-0.01025390625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730343837608916898,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730343837, nanosec=608666335), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.2731161728834842, y=-0.7024731061204252, z=0.1287155326505627, w=-0.6444931364580097)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-2.3125, y=-1.0625, z=-1.0)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.92919921875, y=0.2060546875, z=-0.00537109375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730343837623626835,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730343837, nanosec=623167193), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.27354803088096225, y=-0.7024850146005969, z=0.1289008124097707, w=-0.6442599317223198)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-2.375, y=-2.875, z=-1.625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.9267578125, y=0.19873046875, z=0.0068359375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730343837646844982,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730343837, nanosec=646426329), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.2737903096536817, y=-0.7026633604642971, z=0.12896097287076, w=-0.643950413989299)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.6875, y=-3.75, z=-2.125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.93408203125, y=0.19873046875, z=0.00732421875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730343837669777768,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730343837, nanosec=669093978), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.2736128635812402, y=-0.7030440721820892, z=0.1287195024075029, w=-0.6436585454668211)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=2.1875, y=-3.625, z=-2.3125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.94384765625, y=0.1923828125, z=0.00048828125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730343837683655200,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730343837, nanosec=683185088), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.273179467476555, y=-0.7035164704205205, z=0.12804524637305909, w=-0.6434609306535567)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=5.1875, y=-3.6875, z=-2.5)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.94287109375, y=0.2021484375, z=0.0)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
