timestamp,_header,_orientation,_orientation_covariance,_angular_velocity,_angular_velocity_covariance,_linear_acceleration,_linear_acceleration_covariance,_check_fields
1730343837500940009,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730343837, nanosec=500812600), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.5442134433225392, y=-0.03070203701113024, z=0.46565773430996543, w=0.6971742877557249)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.0625, y=-1.375, z=-0.1875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.4267578125, y=0.6533203125, z=0.51171875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730343837523627983,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730343837, nanosec=523319438), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.5441569416259359, y=-0.03058021623719505, z=0.4659057695379437, w=0.6970580228119111)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.3125, y=-1.125, z=1.125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.42822265625, y=0.6513671875, z=0.515625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730343837540470113,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730343837, nanosec=540076236), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.5442002851183018, y=-0.030090930973903408, z=0.4658295845696365, w=0.6970963948335717)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-2.25, y=-1.5625, z=1.3125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.43505859375, y=0.63720703125, z=0.52197265625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730343837562803233,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730343837, nanosec=562372627), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.5443270381745754, y=-0.029480820748858477, z=0.4657115161776194, w=0.6971023887633803)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-2.625, y=-1.375, z=1.875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.4375, y=0.6318359375, z=0.521484375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730343837585330450,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730343837, nanosec=584934852), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.5445664576983162, y=-0.029114346595168893, z=0.4656464364246195, w=0.6969742636692529)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-1.1875, y=-1.0, z=2.4375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.42333984375, y=0.6298828125, z=0.52294921875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730343837600193658,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730343837, nanosec=599927217), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.5448193227830049, y=-0.028870663194752556, z=0.46553181434752167, w=0.6968633439629808)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.9375, y=-0.375, z=2.4375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.42236328125, y=0.6337890625, z=0.52197265625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730343837621213994,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730343837, nanosec=620859097), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.5451140628865249, y=-0.02868700140596425, z=0.4654008206818668, w=0.6967279171257061)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.625, y=-0.1875, z=2.9375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.41552734375, y=0.62841796875, z=0.52685546875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730343837638322619,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730343837, nanosec=637914078), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.5454815205515203, y=-0.028564994026867126, z=0.465340842865032, w=0.6964853564969675)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.0, y=-0.125, z=3.625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.4150390625, y=0.62890625, z=0.52685546875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730343837661039094,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730343837, nanosec=660518765), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.5459635465184736, y=-0.028564666268378492, z=0.46533550348315733, w=0.6961111512625143)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.4375, y=0.25, z=3.8125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.4169921875, y=0.63134765625, z=0.53173828125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730343837682880060,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730343837, nanosec=682414606), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.5465752984398925, y=-0.028686810750055775, z=0.4655197991290966, w=0.6955025712699693)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=2.5625, y=0.875, z=4.8125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.423828125, y=0.63330078125, z=0.5283203125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
