time,data
2024/05/28 23:19:23.452518239,"[3, 3, 2, 0, -7, -5, 2, -3]"
2024/05/28 23:19:23.452532881,"[5, -6, -2, 0, 5, -11, 3, -1]"
2024/05/28 23:19:23.460008859,"[0, -1, -1, -9, 0, 0, 1, -2]"
2024/05/28 23:19:23.460028348,"[-5, 1, 2, -1, 6, 8, -3, 4]"
2024/05/28 23:19:23.475843040,"[0, -2, -5, 14, -2, 3, -5, 3]"
2024/05/28 23:19:23.475862903,"[-4, -1, 0, -3, 2, -3, 2, 1]"
2024/05/28 23:19:23.476547405,"[-6, -1, 9, -5, 2, -6, 1, -3]"
2024/05/28 23:19:23.476566838,"[-2, -2, 6, -4, 1, -5, 1, 0]"
2024/05/28 23:19:23.490344305,"[0, -1, -3, 3, 19, 2, 2, 0]"
2024/05/28 23:19:23.490363130,"[-2, 0, -4, 2, -4, 3, 0, -3]"
2024/05/28 23:19:23.497858150,"[2, -3, -4, 0, 0, 1, 3, 0]"
2024/05/28 23:19:23.497877891,"[-4, -2, 0, -9, -5, 8, 0, -4]"
2024/05/28 23:19:23.512947216,"[-4, -2, -3, -1, -7, -7, -4, -2]"
2024/05/28 23:19:23.512960042,"[0, 3, -3, -5, -5, -1, 2, 1]"
2024/05/28 23:19:23.520445818,"[-4, 2, 2, 2, -3, 1, -3, -4]"
2024/05/28 23:19:23.520458418,"[9, 11, 2, -2, -4, 4, 2, -1]"
2024/05/28 23:19:23.536169709,"[5, 2, -3, 2, -1, -1, 1, -4]"
2024/05/28 23:19:23.536184426,"[-2, -1, -8, 2, 1, -5, -3, -6]"
2024/05/28 23:19:23.536680434,"[-3, 1, -2, -6, 1, -3, -7, 3]"
2024/05/28 23:19:23.536692770,"[1, -2, -8, -1, 8, 3, -7, 5]"
2024/05/28 23:19:23.550377935,"[-3, -4, 4, 0, 5, 2, -5, 3]"
2024/05/28 23:19:23.550400521,"[1, -4, 7, 7, 0, 2, -2, 0]"
2024/05/28 23:19:23.557803300,"[-5, -11, 1, 8, 3, -1, 0, -2]"
2024/05/28 23:19:23.557826438,"[0, -6, 1, -4, 2, -3, -2, -6]"
2024/05/28 23:19:23.572834468,"[4, -1, 3, -10, -10, -7, -1, 3]"
2024/05/28 23:19:23.572867536,"[1, 5, -3, 2, -7, 0, 0, 0]"
2024/05/28 23:19:23.580389821,"[1, 11, 0, 4, -5, 0, 2, -2]"
2024/05/28 23:19:23.580414191,"[-4, 2, -1, 7, -2, -1, 3, -5]"
2024/05/28 23:19:23.595856256,"[2, -3, -3, 4, -1, 3, 3, -4]"
