time,header,orientation,orientation_covariance,angular_velocity,angular_velocity_covariance,linear_acceleration,linear_acceleration_covariance
2024/05/28 23:19:23.445173613,"{'stamp': {'secs': 1716956363, 'nsecs': 444958763}, 'frame_id': 'RU_myo'}","{'x': 0.10010172046999612, 'y': -0.45576801631064695, 'z': 0.5528178550589968, 'w': 0.6903966830708086}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': 0.3125, 'y': -3.0625, 'z': -1.125}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.70556640625, 'y': 0.6572265625, 'z': -0.05908203125}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024/05/28 23:19:23.467889718,"{'stamp': {'secs': 1716956363, 'nsecs': 467559507}, 'frame_id': 'RU_myo'}","{'x': 0.10028348519107042, 'y': -0.45563981555163763, 'z': 0.5530545704907419, 'w': 0.690265328074142}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': 0.0, 'y': -3.0, 'z': -0.8125}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.7060546875, 'y': 0.66064453125, 'z': -0.06689453125}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024/05/28 23:19:23.483045604,"{'stamp': {'secs': 1716956363, 'nsecs': 482718609}, 'frame_id': 'RU_myo'}","{'x': 0.10052760679229227, 'y': -0.4554565888792258, 'z': 0.5532375397482314, 'w': 0.6902041151227936}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': 0.0625, 'y': -2.6875, 'z': -0.6875}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.7080078125, 'y': 0.6552734375, 'z': -0.0546875}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024/05/28 23:19:23.505165066,"{'stamp': {'secs': 1716956363, 'nsecs': 504994986}, 'frame_id': 'RU_myo'}","{'x': 0.10077535599872037, 'y': -0.4552287129245648, 'z': 0.5535014707428203, 'w': 0.6901067080081965}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': 0.6875, 'y': -3.0625, 'z': -0.625}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.71142578125, 'y': 0.66162109375, 'z': -0.0595703125}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024/05/28 23:19:23.527945894,"{'stamp': {'secs': 1716956363, 'nsecs': 527612657}, 'frame_id': 'RU_myo'}","{'x': 0.1010792636991706, 'y': -0.4549787630517015, 'z': 0.5537385750476302, 'w': 0.6900368817144467}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': 0.375, 'y': -3.125, 'z': -0.625}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.7080078125, 'y': 0.65966796875, 'z': -0.05712890625}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024/05/28 23:19:23.543000494,"{'stamp': {'secs': 1716956363, 'nsecs': 542666826}, 'frame_id': 'RU_myo'}","{'x': 0.10131991880560652, 'y': -0.45477994880757483, 'z': 0.5539636042648703, 'w': 0.6899520254087809}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': 0.5, 'y': -3.0625, 'z': -0.8125}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.70458984375, 'y': 0.66162109375, 'z': -0.06005859375}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024/05/28 23:19:23.565343469,"{'stamp': {'secs': 1716956363, 'nsecs': 565089287}, 'frame_id': 'RU_myo'}","{'x': 0.10156533528291876, 'y': -0.4544804606470031, 'z': 0.5541536532653963, 'w': 0.6899606670902125}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': 0.1875, 'y': -3.1875, 'z': -0.8125}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.70556640625, 'y': 0.66357421875, 'z': -0.05419921875}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024/05/28 23:19:23.587850432,"{'stamp': {'secs': 1716956363, 'nsecs': 587593132}, 'frame_id': 'RU_myo'}","{'x': 0.10180875885424547, 'y': -0.45423308356912157, 'z': 0.5543938589167335, 'w': 0.6898947250177078}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': 0.4375, 'y': -3.1875, 'z': -0.75}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.70751953125, 'y': 0.65966796875, 'z': -0.05859375}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024/05/28 23:19:23.602788698,"{'stamp': {'secs': 1716956363, 'nsecs': 602515381}, 'frame_id': 'RU_myo'}","{'x': 0.10211402962305645, 'y': -0.4540503684195558, 'z': 0.554638486063786, 'w': 0.6897732509086436}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': 0.75, 'y': -3.1875, 'z': -0.875}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.7041015625, 'y': 0.658203125, 'z': -0.0576171875}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024/05/28 23:19:23.625430998,"{'stamp': {'secs': 1716956363, 'nsecs': 625107088}, 'frame_id': 'RU_myo'}","{'x': 0.10248188219601706, 'y': -0.4537524194432346, 'z': 0.5549525151436493, 'w': 0.6896621720862399}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': 1.0, 'y': -3.375, 'z': -1.0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.70556640625, 'y': 0.66259765625, 'z': -0.05712890625}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024/05/28 23:19:23.648027904,"{'stamp': {'secs': 1716956363, 'nsecs': 647664160}, 'frame_id': 'RU_myo'}","{'x': 0.10278362833505632, 'y': -0.4535541224214985, 'z': 0.5552391133990543, 'w': 0.6895170126491278}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': 1.0, 'y': -2.9375, 'z': -1.125}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.7060546875, 'y': 0.66650390625, 'z': -0.06005859375}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024/05/28 23:19:23.663095260,"{'stamp': {'secs': 1716956363, 'nsecs': 662713196}, 'frame_id': 'RU_myo'}","{'x': 0.1030296031028352, 'y': -0.453318046353529, 'z': 0.5553710655406975, 'w': 0.6895292809554082}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': 0.0, 'y': -3.125, 'z': -1.125}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.7021484375, 'y': 0.65966796875, 'z': -0.05419921875}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024/05/28 23:19:23.685502173,"{'stamp': {'secs': 1716956363, 'nsecs': 685174491}, 'frame_id': 'RU_myo'}","{'x': 0.10327706302039379, 'y': -0.4531494774606403, 'z': 0.5555109636812079, 'w': 0.6894903687224399}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.0625, 'y': -3.125, 'z': -1.0}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.7060546875, 'y': 0.65966796875, 'z': -0.0615234375}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024/05/28 23:19:23.708134185,"{'stamp': {'secs': 1716956363, 'nsecs': 707797766}, 'frame_id': 'RU_myo'}","{'x': 0.10357788641926491, 'y': -0.45294725699314375, 'z': 0.5557316769872758, 'w': 0.6894002516827326}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': 0.25, 'y': -3.125, 'z': -0.8125}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.70849609375, 'y': 0.658203125, 'z': -0.06201171875}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024/05/28 23:19:23.722796851,"{'stamp': {'secs': 1716956363, 'nsecs': 722575622}, 'frame_id': 'RU_myo'}","{'x': 0.10388153524757894, 'y': -0.45269644355540134, 'z': 0.555967629007166, 'w': 0.6893290593925715}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': 0.5, 'y': -3.3125, 'z': -0.6875}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.705078125, 'y': 0.65625, 'z': -0.05908203125}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024/05/28 23:19:23.745412349,"{'stamp': {'secs': 1716956363, 'nsecs': 745102351}, 'frame_id': 'RU_myo'}","{'x': 0.10412628513791622, 'y': -0.4525159894563369, 'z': 0.5562150272343672, 'w': 0.6892110268331476}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': 0.375, 'y': -3.4375, 'z': -0.75}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.7109375, 'y': 0.66162109375, 'z': -0.06787109375}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024/05/28 23:19:23.768036957,"{'stamp': {'secs': 1716956363, 'nsecs': 767699458}, 'frame_id': 'RU_myo'}","{'x': 0.10449601767644591, 'y': -0.4521650110672379, 'z': 0.556477916563176, 'w': 0.6891732100378217}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': 0.8125, 'y': -3.6875, 'z': -0.6875}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.70458984375, 'y': 0.65771484375, 'z': -0.056640625}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024/05/28 23:19:23.783084241,"{'stamp': {'secs': 1716956363, 'nsecs': 782777442}, 'frame_id': 'RU_myo'}","{'x': 0.10479959058768214, 'y': -0.451913901404309, 'z': 0.556713491991991, 'w': 0.6891015595427672}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': 0.6875, 'y': -3.375, 'z': -0.625}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.70654296875, 'y': 0.66064453125, 'z': -0.05712890625}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024/05/28 23:19:23.805667202,"{'stamp': {'secs': 1716956363, 'nsecs': 805244562}, 'frame_id': 'RU_myo'}","{'x': 0.10504291499888786, 'y': -0.45184933163089297, 'z': 0.5569532826059569, 'w': 0.6889130630984587}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': 0.75, 'y': -1.875, 'z': -1.375}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.71044921875, 'y': 0.66552734375, 'z': -0.06005859375}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
